Date,Open,High,Low,Close,Shares Traded
3-Mar-20,11217.55,11342.25,11152.55,11303.3,696919348
4-Mar-20,11351.35,11356.6,11082.15,11251,798021596
5-Mar-20,11306.05,11389.5,11244.6,11269,1353209029
6-Mar-20,10942.65,11035.1,10827.4,10989.45,1811564187
9-Mar-20,10742.05,10751.55,10294.45,10451.45,1566119057
11-Mar-20,10334.3,10545.1,10334,10458.4,1219079693
12-Mar-20,10039.95,10040.75,9508,9590.15,1344263317
13-Mar-20,9107.6,10159.4,8555.15,9955.2,1389061775
16-Mar-20,9587.8,9602.2,9165.1,9197.4,898523271
17-Mar-20,9285.4,9403.8,8915.6,8967.05,936185892
18-Mar-20,9088.45,9127.55,8407.05,8468.8,1517275761
19-Mar-20,8063.3,8575.45,7832.55,8263.45,926508824
20-Mar-20,8284.45,8883,8178.2,8745.45,1072263600
23-Mar-20,7945.7,8159.25,7583.6,7610.25,654151814
24-Mar-20,7848.3,8036.95,7511.1,7801.05,739354439
25-Mar-20,7735.15,8376.75,7714.75,8317.85,738114713
26-Mar-20,8451,8749.05,8304.9,8641.45,866534643
27-Mar-20,8949.1,9038.9,8522.9,8660.25,801923401
30-Mar-20,8385.95,8576,8244,8281.1,593953051
31-Mar-20,8529.35,8678.3,8358,8597.75,713390935
1-Apr-20,8584.1,8588.1,8198.35,8253.8,507509685
3-Apr-20,8356.55,8356.55,8055.8,8083.8,697752438
7-Apr-20,8446.3,8819.4,8360.95,8792.2,815245226
8-Apr-20,8688.9,9131.7,8653.9,8748.75,897562690
9-Apr-20,8973.05,9128.35,8904.55,9111.9,743036134
13-Apr-20,9103.95,9112.05,8912.4,8993.85,644468815
15-Apr-20,9196.4,9261.2,8874.1,8925.3,880159358
16-Apr-20,8851.25,9053.75,8821.9,8992.8,720116479
17-Apr-20,9323.45,9324,9091.35,9266.75,684910520
20-Apr-20,9390.2,9390.85,9230.8,9261.85,726364699
21-Apr-20,9016.95,9044.4,8909.4,8981.45,655122903
22-Apr-20,9026.75,9209.75,8946.25,9187.3,734383388
23-Apr-20,9232.35,9343.6,9170.15,9313.9,666650462
24-Apr-20,9163.9,9296.9,9141.3,9154.4,659439249
27-Apr-20,9259.7,9377.1,9250.35,9282.3,512793298
28-Apr-20,9389.8,9404.4,9260,9380.9,614548983
29-Apr-20,9408.6,9599.85,9392.35,9553.35,653026950
30-Apr-20,9753.5,9889.05,9731.5,9859.9,931173802
4-May-20,9533.5,9533.5,9266.95,9293.5,687487134
5-May-20,9429.4,9450.9,9190.75,9205.6,725196178
6-May-20,9226.8,9346.9,9116.5,9270.9,722185448
7-May-20,9234.05,9277.85,9175.9,9199.05,708740416
8-May-20,9376.95,9382.65,9238.2,9251.5,609053504
11-May-20,9348.15,9439.9,9219.95,9239.2,704647074
12-May-20,9168.85,9240.85,9043.95,9196.55,805458787
13-May-20,9584.2,9584.5,9351.1,9383.55,846395245
14-May-20,9213.95,9281.1,9119.75,9142.75,602555564
15-May-20,9182.4,9182.4,9050,9136.85,575857112
18-May-20,9158.3,9158.3,8806.75,8823.25,772983297
19-May-20,8961.7,9030.35,8855.3,8879.1,762152894
20-May-20,8889.15,9093.8,8875.35,9066.55,622308140
21-May-20,9079.45,9178.55,9056.1,9106.25,631542699
22-May-20,9067.9,9149.6,8968.55,9039.25,675759336
26-May-20,9099.75,9161.65,8996.65,9029.05,654959960
27-May-20,9082.2,9334,9004.25,9314.95,763492487
28-May-20,9364.95,9511.25,9336.5,9490.1,837911425
29-May-20,9422.2,9598.85,9376.9,9580.3,967005438
1-Jun-20,9726.85,9931.6,9706.95,9826.15,794183122
2-Jun-20,9880.85,9995.6,9824.05,9979.1,770192848
3-Jun-20,10108.3,10176.2,10035.55,10061.55,794664422
4-Jun-20,10054.25,10123.85,9944.25,10029.1,775106567
5-Jun-20,10093.8,10177.8,10040.75,10142.15,987122302
8-Jun-20,10326.75,10328.5,10120.25,10167.45,936485541
9-Jun-20,10181.15,10291.15,10021.45,10046.65,754217460
10-Jun-20,10072.6,10148.75,10036.85,10116.15,632383068
11-Jun-20,10094.1,10112.05,9885.05,9902,715453486
12-Jun-20,9544.95,9996.05,9544.35,9972.9,796306399
